Date,Close,Volume
1996-06-28,131.7284,45584300
1996-07-01,132.1445,31614300
1996-07-02,131.5398,38607200
1996-07-03,130.6738,40507400
1996-07-05,127.8556,23253900
1996-07-08,126.0758,48793000
1996-07-09,126.0443,52252900
1996-07-10,125.8841,55635100
1996-07-11,123.2388,64461500
1996-07-12,123.1868,49958300
1996-07-15,119.1698,56188300
1996-07-16,118.5903,95962400
1996-07-17,122.7379,73424704
1996-07-18,124.5625,61422700
1996-07-19,123.0528,54401600
1996-07-22,121.5695,43188700
1996-07-23,120.2632,55750600
1996-07-24,119.5678,57328300
1996-07-25,120.1741,46504200
1996-07-26,121.2546,36959500
1996-07-29,120.5305,33586500
1996-07-30,122.2647,40151000
1996-07-31,122.5487,43878500
1996-08-01,125.0363,53324200
1996-08-02,127.1569,49845200
1996-08-05,126.7821,29582500
1996-08-06,127.1073,38210300
1996-08-07,127.2188,41914000
1996-08-08,127.2133,41229800
1996-08-09,128.0903,50885300
1996-08-12,129.067,36861500
1996-08-13,127.6734,45173800
1996-08-14,128.2558,46882400
1996-08-15,128.2788,45057700
1996-08-16,129.1324,44521100
1996-08-19,128.7725,31555400
1996-08-20,128.8004,41811000
1996-08-21,128.4732,38787000
1996-08-22,129.7448,37473200
1996-08-23,128.9132,32564000
1996-08-26,128.4729,30681600
1996-08-27,128.9956,34837100
1996-08-28,128.7483,38972300
1996-08-29,127.2825,36525200
1996-08-30,126.6484,27281800
1996-09-03,126.2629,33026100
1996-09-04,126.4426,43929600
1996-09-05,124.3376,57638000
1996-09-06,125.6358,48256100
1996-09-09,127.2532,32777300
1996-09-10,126.8516,62891800
1996-09-11,127.37,45684700
1996-09-12,128.7907,46323700
1996-09-13,129.8538,65219300
1996-09-16,130.4804,51392000
1996-09-17,130.4343,44227500
1996-09-18,129.6827,40590100
1996-09-19,130.0349,42316700
1996-09-20,130.8289,65019000
1996-09-23,130.3694,33814000
1996-09-24,129.8945,52365200
1996-09-25,128.94,48664300
1996-09-26,128.2223,63487500
1996-09-27,128.6324,49072400
1996-09-30,129.4278,51121100
1996-10-01,129.1001,56960900
1996-10-02,129.7947,64269000
1996-10-03,130.0188,52719000
1996-10-04,131.0769,53229400
1996-10-07,131.4084,49995400
1996-10-08,131.3192,52878300
1996-10-09,130.0358,50733900
1996-10-10,130.4018,56642300
1996-10-11,131.5108,44777800
1996-10-14,132.356,35447500
1996-10-15,131.9212,49608300
1996-10-16,132.8033,50335200
1996-10-17,133.1567,55485400
1996-10-18,133.2842,53380500
1996-10-21,132.9605,48896300
1996-10-22,132.6772,45915700
1996-10-23,131.8082,50105800
1996-10-24,131.0723,59570400
1996-10-25,130.9587,50994700
1996-10-28,130.2242,41217200
1996-10-29,130.7874,47340100
1996-10-30,129.2598,54332800
1996-10-31,130.422,65994900
1996-11-01,130.3676,64804200
1996-11-04,130.9327,50641700
1996-11-05,132.32,66559700
1996-11-06,133.396,54459100
1996-11-07,133.2302,66797800
1996-11-08,134.3283,45249700
1996-11-11,134.505,40162400
1996-11-12,133.8871,62433100
1996-11-13,133.0146,65664000
1996-11-14,133.0261,61492900
1996-11-15,133.6991,68325200
1996-11-18,133.8614,41339900
1996-11-19,133.8688,60863100
1996-11-20,134.4103,65975000
1996-11-21,134.7549,60223600
1996-11-22,135.5363,58901500
1996-11-25,136.2215,49127000
1996-11-26,136.8815,61468100
1996-11-27,135.7183,39701400
1996-11-29,136.4192,14798700
1996-12-02,137.0502,49939700
1996-12-03,136.85,58005900
1996-12-04,136.1452,51097300
1996-12-05,136.1804,50258000
1996-12-06,134.5887,52683700
1996-12-09,136.2681,46290000
1996-12-10,135.6988,56564600
1996-12-11,133.8778,53656700
1996-12-12,131.713,55067700
1996-12-13,131.5989,50183600
1996-12-16,129.3417,49280400
1996-12-17,129.9465,63580100
1996-12-18,130.2172,48388900
1996-12-19,131.5959,60066900
1996-12-20,132.2615,86965696
1996-12-23,131.9132,36368900
1996-12-24,132.0313,18486900
1996-12-26,133.002,29713500
